model_name,audio_name,cosine_sim,execution_time,model_transcription,correct_transcription
tiny,8.m4a,0.18528870087082655,4.945495843887329, pcept% em troandır em trozinha tigo de advice que vai ser nossa vida,"Que que você pensa em fazer, tipo assim, da casa?"
base,8.m4a,0.4501755023269899,2.8248801231384277, E você pensa em fazer tipo se invacar a casa.,"Que que você pensa em fazer, tipo assim, da casa?"
small,8.m4a,0.8713658601863271,6.298497200012207," O que você pensa em fazer? Tipo assim, ir da casa.","Que que você pensa em fazer, tipo assim, da casa?"
medium,8.m4a,0.9622504486493765,23.045385122299194," O que você pensa em fazer? Tipo assim, da casa.","Que que você pensa em fazer, tipo assim, da casa?"
large,8.m4a,0.9622504486493765,50.161850929260254," O que você pensa em fazer? Tipo assim, da casa?","Que que você pensa em fazer, tipo assim, da casa?"
tiny,9.m4a,0.10443020465767974,1.9802680015563965," Um, um, um, um box e a pita que eu digo fica meira para o fazente, não? Pocinto.","O banheiro sim, o box e a pia e tal. Porque é o dia que fica melhor pra eu fazer, entendeu. Pode ser então?"
base,9.m4a,0.43507722746245037,2.1729819774627686," um boi, um box e a pita que o dia que fica melhor para o fazer, entendeu? pode ser então?","O banheiro sim, o box e a pia e tal. Porque é o dia que fica melhor pra eu fazer, entendeu. Pode ser então?"
small,9.m4a,0.6855867369932984,4.822619915008545," O banheiro sim, o boxe, a pita, que é o dia que fica melhor pra eu fazer, entendeu? Pode ser, então...","O banheiro sim, o box e a pia e tal. Porque é o dia que fica melhor pra eu fazer, entendeu. Pode ser então?"
medium,9.m4a,0.6384701762143284,17.39841890335083," O banheiro, o box e a pi e tal, que é o dia que fica melhor pra eu fazer, entendeu? Pode sentar?","O banheiro sim, o box e a pia e tal. Porque é o dia que fica melhor pra eu fazer, entendeu. Pode ser então?"
large,9.m4a,0.6745958958223053,31.642757892608643," O banheiro, o box e a pita, que é o dia que fica melhor pra fazer, entendeu? Pode ser então?","O banheiro sim, o box e a pia e tal. Porque é o dia que fica melhor pra eu fazer, entendeu. Pode ser então?"
tiny,00000009-AUDIO-2024-06-21-00-18-50.opus,0.0,3.0934581756591797, O Moss não adici e pé...,Mostra minha lista de tarefas.
base,00000009-AUDIO-2024-06-21-00-18-50.opus,1.0000000000000002,1.7445597648620605, e mostra a minha lista de tarefas.,Mostra minha lista de tarefas.
small,00000009-AUDIO-2024-06-21-00-18-50.opus,0.6694188517266485,3.6768009662628174, e mostra a minha lista de tarefos.,Mostra minha lista de tarefas.
medium,00000009-AUDIO-2024-06-21-00-18-50.opus,1.0000000000000002,14.0416579246521, e mostra minha lista de tarefas.,Mostra minha lista de tarefas.
